行号,预测,标签
641,图中展示的物品是衣架，根据垃圾分类的标准，应该属于其他垃圾,"图中展示的物品是衣架,根据垃圾分类的标准，应该属于可回收物
"
642,"图中展示的物品是{glass_object},根据垃圾分类的标准，应该属于{recyclable}","图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
643,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
644,图中展示的物品是肉，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是骨肉相连,根据垃圾分类的标准，应该属于厨余垃圾
"
645,图中展示的物品是竹子，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是串串竹签,根据垃圾分类的标准，应该属于其他垃圾
"
646,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}塑料制品","图中展示的物品是鞋,根据垃圾分类的标准，应该属于可回收物
"
647,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物
"
648,图中展示的物品是{glass}，根据垃圾分类的标准，应该属于{recyclable},"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
649,"图中展示的物品是{aluminum_tray},根据垃圾分类的标准，应该属于{aluminum}","图中展示的物品是餐盒,根据垃圾分类的标准，应该属于其他垃圾
"
650,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾","图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
651,图中展示的物品是票,"图中展示的物品是登机牌,根据垃圾分类的标准，应该属于可回收物
"
652,图中展示的物品是瓜子，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是瓜子,根据垃圾分类的标准，应该属于厨余垃圾
"
653,"图中展示的物品是[swat, 有害]","图中展示的物品是苍蝇拍,根据垃圾分类的标准，应该属于其他垃圾
"
654,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
655,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是烧水壶,根据垃圾分类的标准，应该属于可回收物
"
656,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物
"
657,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是灯罩,根据垃圾分类的标准，应该属于可回收物
"
658,图中展示的物品是计算器，根据垃圾分类的标准，应该属于电子废弃物。,"图中展示的物品是计算器,根据垃圾分类的标准，应该属于可回收物
"
659,"图中展示的物品是方便面,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾
"
660,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾
"
661,图中展示的物品是玩具，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
662,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
663,图中展示的物品是玻璃壶，根据垃圾分类的标准，应该属于玻璃垃圾,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
664,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物
"
665,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物
"
666,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物
"
667,"图中展示的物品是[wood],[cutting-board],[handle],根据垃圾分类的标准，应该属于[wood, cutting-board, handle]","图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物
"
668,图中展示的物品是{bamboo_rod}，根据垃圾分类的标准，应该属于{recyclable},"图中展示的物品是串串竹签,根据垃圾分类的标准，应该属于其他垃圾
"
669,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是裤子,根据垃圾分类的标准，应该属于可回收物
"
670,图中展示的物品是无垃圾，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是玻璃球,根据垃圾分类的标准，应该属于可回收物
"
671,图中展示的物品是抹布，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是毛巾,根据垃圾分类的标准，应该属于其他垃圾
"
672,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物
"
673,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾","图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
674,图中展示的物品是萝卜，根据垃圾分类的标准，应该属于其他垃圾,"图中展示的物品是白萝卜,根据垃圾分类的标准，应该属于厨余垃圾
"
675,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物
"
676,图中展示的物品是梳子，根据垃圾分类的标准，应该属于垃圾杂物,"图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物
"
677,图中展示的物品是钢丝球，根据垃圾分类的标准，应该属于金属垃圾,"图中展示的物品是钢丝球,根据垃圾分类的标准，应该属于可回收物
"
678,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是核桃,根据垃圾分类的标准，应该属于厨余垃圾
"
679,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
680,图中展示的物品是砧板，根据垃圾分类的标准，应该属于厨房垃圾。,"图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物
"
681,图中展示的物品是荧光灯，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是玻璃灯管,根据垃圾分类的标准，应该属于有害垃圾
"
682,图中展示的物品是遥控器，根据垃圾分类的标准，应该属于电子废弃物。,"图中展示的物品是眼镜,根据垃圾分类的标准，应该属于其他垃圾
"
683,图中展示的物品是锅，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是贝果,根据垃圾分类的标准，应该属于厨余垃圾
"
684,图中展示的物品是食物，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
685,图中展示的物品是垃圾，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
686,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是红花油,根据垃圾分类的标准，应该属于有害垃圾
"
687,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
688,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是地球仪,根据垃圾分类的标准，应该属于可回收物
"
689,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是蛋糕盒,根据垃圾分类的标准，应该属于可回收物
"
690,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是登机牌,根据垃圾分类的标准，应该属于可回收物
"
691,图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{fruit},"图中展示的物品是草莓,根据垃圾分类的标准，应该属于厨余垃圾
"
692,图中展示的物品是花瓶，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是茶叶罐,根据垃圾分类的标准，应该属于可回收物
"
693,图中展示的物品是香肠，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
694,图中展示的物品是电池，根据垃圾分类的标准，应该属于有害垃圾,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾
"
695,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾","图中展示的物品是甘蔗,根据垃圾分类的标准，应该属于厨余垃圾
"
696,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
697,图中展示的物品是药品，根据垃圾分类的标准，应该属于有害垃圾,"图中展示的物品是药膏,根据垃圾分类的标准，应该属于有害垃圾
"
698,图中展示的物品是手套，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是厨房手套,根据垃圾分类的标准，应该属于其他垃圾
"
699,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
